Comment,Designator,Footprint,JLCPCB Part #
CL05B104KO5NNNC,"C1, C2, C3, C4, C5, C6, C7",C_0402_1005Metric,C1525
WS2812B-V5/W,"D1, D3, D4, D5, D6, D7",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C42417498
AO3401A,Q3,SOT-23,C15127
NX7002AKVL,"Q1, Q2",SOT-23,C551606
0603WAF3301T5E,"R1, R2",C_0201_0603Metric,C22978
0603WAF270JT5E,"R3, R4",C_0201_0603Metric,C25190
UNI-ROYAL 0603WAF1003T5E,"R5, R6",C_0201_0603Metric,C25803
XKB5858-W-F,"SW1, SW2",XKB5858,C2884737
LSM6DS3TR-C,U3,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C967633
Conn_02x08_Counter_Clockwise,J1,PinSocket_2x08_P2.54mm_Vertical_SMD,C41427537
Battery_Cell,BT1,Battery_Holder_18650_robop,C7525438
ITR9909,U1,ITR_9909_Horizontal,C53399
ITR9909,U2,ITR_9909_Vertical,C53399
